date,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,DJI_Return
12/28/1992,-0.014925,0.582458771,0.005050505,-9.52E-10,-0.00141,1.328316229,0.00212256
12/29/1992,0,1.79898942,0.015151515,0,-0.002664,3.717943071,-0.006738137
12/30/1992,0.015152,-0.442457407,0.004975124,6.10E-10,0.001918,2.07291162,0.003111045
12/31/1992,-0.00995,-0.386522311,0.010050251,-6.60E-10,-0.007087,1.268362279,-0.006019087
1/4/1993,0.015075,0.670130299,0.01,5.95E-10,-0.000757,2.118330272,0.002450643
1/5/1993,0.015,0.282144973,0.004926108,4.55E-10,-0.002389,2.71600651,-0.000392859
1/6/1993,-0.004926,0.594161596,0.004950495,-9.43E-11,0.000414,4.329753273,-0.000816213
1/7/1993,-0.009901,-0.253225105,0.01,-2.56E-10,-0.008722,3.233351045,-0.010952424
1/8/1993,0,0.149262422,0.01,0,-0.0039,3.715968855,-0.005292153
1/11/1993,-0.005,-0.351348308,0.005025126,-1.74E-10,0.004428,2.410369484,0.003398238
1/12/1993,0.005025,0.312358965,0.01,1.33E-10,0.000209,3.163270002,0.000567036
1/13/1993,0,-0.135969843,0.01,0,0.004617,2.733160676,-0.000306316
1/14/1993,0.005,0.798086491,0.004975124,8.47E-11,0.00672,4.914459288,0.001317504
1/15/1993,0,0.04077984,0.004975124,0,0.002776,5.114870151,0.000979282
1/18/1993,0.0199,-0.436359918,0.004878049,5.64E-10,-0.000709,2.88294583,0.001161629
1/19/1993,-0.004878,0.005152021,0.004901961,-1.38E-10,-0.003914,2.897798828,-0.005771139
1/20/1993,0,-0.109659255,0.009803922,0,-0.004045,2.580028367,-0.004299754
1/21/1993,-0.009804,-0.126327739,0.004950495,-3.60E-10,0.004892,2.254099218,0.003392967
1/22/1993,0.014851,1.012714617,0.009756098,2.67E-10,0.001424,4.536858445,0.001168167
1/25/1993,-0.019512,1.267626228,0.009950249,-1.58E-10,0.008943,10.2878992,0.010869535
1/26/1993,-0.049751,0.485481011,0.005235602,-2.85E-10,-0.000136,15.2824789,0.002065503
1/27/1993,-0.036649,-0.271186536,0.010869565,-2.99E-10,-0.004182,11.13807639,-0.002303758
1/28/1993,-0.027174,-0.323241177,0.005586592,-3.37E-10,0.001255,7.537791464,0.004526994
1/29/1993,0.039106,-0.205373002,0.005376344,5.87E-10,0.000274,5.989732604,0.001119061
2/1/1993,0.05914,1.315905281,0.005076142,3.62E-10,0.008524,13.87165337,0.006706934
2/2/1993,0,-0.55641014,0.005076142,0,9.00E-05,6.15332477,-0.001050357
2/3/1993,0.010152,0.068300809,0.005025126,1.30E-10,0.010484,6.573601831,0.013548862
2/4/1993,0,-0.144862044,0.010050251,0,0.005277,5.621336435,0.012715603
2/5/1993,0.005025,-0.116296379,0.01,8.46E-11,-0.001401,4.967595363,0.007434117
2/8/1993,0.01,-0.451318117,0.00990099,3.04E-10,-0.002406,2.725629579,-0.001336422
2/9/1993,-0.014851,-0.05073298,0.010050251,-4.83E-10,-0.005627,2.587350267,-0.00666179
2/10/1993,0,0.155643596,0.005025126,0,0.002021,2.990054768,-0.000644349
2/11/1993,0.005025,0.346953054,0.01,1.04E-10,0.003205,4.027463401,0.003018418
2/12/1993,-0.015,0.31357781,0.010152284,-2.41E-10,-0.00688,5.290386554,-0.008843901
2/16/1993,-0.035533,-0.150777018,0.010526316,-6.97E-10,-0.024,4.492717847,-0.024445584
2/17/1993,0.021053,-0.189886385,0.005154639,4.99E-10,-0.001406,3.639611897,0.000815818
2/18/1993,-0.015464,0.105471893,0.005235602,-3.37E-10,-0.003231,4.023488655,-0.003019141
2/19/1993,0.010471,-0.21525503,0.005181347,2.88E-10,0.005372,3.157412482,0.006050506
2/22/1993,0.005181,-0.222487246,0.010309278,1.82E-10,0.002349,2.454928475,0.006263977
2/23/1993,-0.015464,0.628887942,0.005235602,-3.39E-10,-0.001011,3.998803392,-0.005898902
2/24/1993,0.026178,-0.316034528,0.010204082,8.17E-10,0.01396,2.73504345,0.009999182
2/25/1993,-0.015306,-0.013997246,0.005181347,-4.92E-10,0.003334,2.696760373,0.002574078
2/26/1993,0.015544,-0.048173144,0.005102041,5.17E-10,0.002351,2.566848947,0.001684972
3/1/1993,0.005102,-0.41002445,0.005076142,2.86E-10,-0.00309,1.51437812,-0.004568678
3/2/1993,0,1.314684349,0.010152284,0,0.013325,3.505307332,0.013446976
3/3/1993,0.010152,-0.479768441,0.010050251,4.68E-10,0.003036,1.823571497,0.001032195
3/4/1993,0.01005,0.346793622,0.004975124,3.41E-10,-0.004274,2.455974461,-0.00150707
